
 
 ----------- 
 AdH Version 
 ----------- 
 Version 4.5 
 Compatible with Sedlib v1.3 
 
 --------------------- 
 AdH Build Information 
 --------------------- 
 SVN revision #  
 Build Date/Time: 2015.01.06 / 11:43:39 
 Built with DEBUG enabled 
 Built with XMS (*.dat) output file format 
 Built with STRUCTURES enabled 
 Built with Sedlib support enabled 
 Built with UMFPACK enabled 
 
 ------------------- 
 Runtime Information 
 ------------------- 
 AdH execution Date/Time: 2024.10.25 / 11:58:23 
 Launching AdH with project name: ADH_57_most Mesh 
 Launching AdH with run name: (unspecified) 
 AdH was launched with 1 processor 
alloc_adh :: allocating grid 
alloc_adh :: allocating physics 
--allocating 2d shallow water variables 
Successfully Initialized All ADH Variables 
ADH Binary Successfully Written 
 
adh_run_func :: tfinal = 2678400.000000  
Physics	Time	dt	Progress	Nonlinear Iteration	Linear Iterations	Max Resid Worst Node	Inc Max Worst Node	Nodes After Adaption 
HYD	0.00000000e+000	  3.000000e+002	%0.00	    1	0	41	2	   10553 
HYD	0.00000000e+000	  3.000000e+002	%0.00	    2	0	371	2	   10553 
HYD	0.00000000e+000	  3.000000e+002	%0.00	    3	0	5	2	   10553 
HYD	0.00000000e+000	  3.000000e+002	%0.00	    4	0	159	159	   10553 
HYD	0.00000000e+000	  3.000000e+002	%0.00	    5	0	171	171	   10553 
HYD	3.00000000e+002	  3.000000e+002	%0.01	    1	0	398	653	   10553 
HYD	3.00000000e+002	  3.000000e+002	%0.01	    2	0	637	653	   10553 
HYD	3.00000000e+002	  3.000000e+002	%0.01	    3	0	678	686	   10553 
HYD	3.00000000e+002	  3.000000e+002	%0.01	    4	0	727	662	   10553 
HYD	6.00000000e+002	  3.000000e+002	%0.02	    1	0	565	686	   10553 
HYD	6.00000000e+002	  3.000000e+002	%0.02	    2	0	986	986	   10553 
HYD	6.00000000e+002	  3.000000e+002	%0.02	    3	0	926	946	   10553 
HYD	9.00000000e+002	  3.000000e+002	%0.03	    1	0	638	1023	   10553 
HYD	9.00000000e+002	  3.000000e+002	%0.03	    2	0	1023	1069	   10553 
HYD	9.00000000e+002	  3.000000e+002	%0.03	    3	0	1206	1467	   10553 
HYD	1.20000000e+003	  3.000000e+002	%0.04	    1	0	1009	1489	   10553 
HYD	1.20000000e+003	  3.000000e+002	%0.04	    2	0	1467	1467	   10553 
HYD	1.20000000e+003	  3.000000e+002	%0.04	    3	0	1423	1467	   10553 
HYD	1.50000000e+003	  3.000000e+002	%0.06	    1	0	1009	1489	   10553 
HYD	1.50000000e+003	  3.000000e+002	%0.06	    2	0	2024	2024	   10553 
HYD	1.50000000e+003	  3.000000e+002	%0.06	    3	0	2051	2024	   10553 
HYD	1.80000000e+003	  3.000000e+002	%0.07	    1	0	2022	1888	   10553 
HYD	1.80000000e+003	  3.000000e+002	%0.07	    2	0	2024	2024	   10553 
HYD	1.80000000e+003	  3.000000e+002	%0.07	    3	0	2051	2024	   10553 
HYD	2.10000000e+003	  3.000000e+002	%0.08	    1	0	2022	1728	   10553 
HYD	2.10000000e+003	  3.000000e+002	%0.08	    2	0	1972	2689	   10553 
HYD	2.10000000e+003	  3.000000e+002	%0.08	    3	0	2051	2689	   10553 
HYD	2.40000000e+003	  3.000000e+002	%0.09	    1	0	1699	1728	   10553 
HYD	2.40000000e+003	  3.000000e+002	%0.09	    2	0	2915	2713	   10553 
HYD	2.40000000e+003	  3.000000e+002	%0.09	    3	0	3420	3489	   10553 
HYD	2.70000000e+003	  3.000000e+002	%0.10	    1	0	2655	1728	   10553 
HYD	2.70000000e+003	  3.000000e+002	%0.10	    2	0	3734	3489	   10553 
HYD	2.70000000e+003	  3.000000e+002	%0.10	    3	0	4094	4116	   10553 
HYD	3.00000000e+003	  3.000000e+002	%0.11	    1	0	3474	2520	   10553 
HYD	3.00000000e+003	  3.000000e+002	%0.11	    2	0	1898	1898	   10553 
HYD	3.00000000e+003	  3.000000e+002	%0.11	    3	0	1898	1898	   10553 
HYD	3.30000000e+003	  3.000000e+002	%0.12	    1	0	3474	2000	   10553 
HYD	3.30000000e+003	  3.000000e+002	%0.12	    2	0	1848	1921	   10553 
HYD	3.30000000e+003	  3.000000e+002	%0.12	    3	0	1823	1823	   10553 
HYD	3.60000000e+003	  3.000000e+002	%0.13	    1	0	1972	2000	   10553 
HYD	3.60000000e+003	  3.000000e+002	%0.13	    2	0	1924	1924	   10553 
HYD	3.60000000e+003	  3.000000e+002	%0.13	    3	0	1853	1853	   10553 
HYD	3.90000000e+003	  3.000000e+002	%0.15	    1	0	2022	2000	   10553 
HYD	3.90000000e+003	  3.000000e+002	%0.15	    2	0	1924	1975	   10553 
HYD	3.90000000e+003	  3.000000e+002	%0.15	    3	0	1924	1924	   10553 
HYD	4.20000000e+003	  3.000000e+002	%0.16	    1	0	1999	2000	   10553 
